id,count_et,count_st,count_rt,count_lf,count_vol
1,2,1,2,3,2
2,2,1,1,5,1
3,1,1,1,1,1
4,1,1,1,1,1
5,2,1,1,2,2
6,1,1,1,2,1
7,2,1,1,4,2
8,2,1,1,6,3
9,2,1,1,5,5
10,1,1,1,2,1
11,2,1,1,6,1
12,1,1,1,1,1
13,2,1,1,2,1
14,1,1,1,2,1
15,2,1,1,2,2
16,1,1,1,1,1
17,1,1,1,2,1
18,2,1,1,8,6
19,2,1,1,4,3
20,3,1,3,2,1
21,3,1,3,4,2
22,2,1,1,6,2
23,2,1,1,4,2
24,1,1,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,2,2
28,1,1,1,1,1
29,2,1,1,16,13
30,2,1,1,3,2
31,2,1,1,4,3
32,2,1,1,4,1
33,2,1,1,4,3
34,4,1,3,7,2
35,1,1,1,2,1
36,2,1,1,2,1
37,1,1,1,1,1
38,2,1,1,4,3
39,1,1,1,1,1
40,3,1,3,8,5
41,2,1,1,3,1
42,2,1,2,2,1
43,2,1,1,6,3
44,2,1,1,2,1
45,1,1,1,2,1
46,2,1,1,6,2
47,2,1,1,3,3
48,1,1,1,2,2
49,2,1,1,7,5
50,5,1,4,8,3
51,2,1,2,4,1
52,2,1,1,4,3
53,3,1,1,10,6
54,2,1,1,10,4
55,2,1,1,14,11
56,2,1,1,6,1
57,2,1,1,2,2
58,2,1,2,3,2
59,1,1,1,2,1
60,2,1,1,2,2
61,1,1,1,2,1
62,2,1,1,8,4
63,2,1,1,5,5
64,1,1,1,1,1
65,1,1,1,2,2
66,1,1,1,2,2
67,2,1,1,2,2
68,1,1,1,4,3
69,1,1,1,2,1
70,1,1,1,2,2
71,1,1,1,2,1
72,3,1,1,5,3
73,1,1,1,2,1
74,2,1,1,2,2
75,2,1,1,4,4
76,2,1,1,3,1
77,2,1,1,2,2
78,3,1,2,4,2
79,2,1,1,2,1
80,1,1,1,1,1
81,1,1,1,3,1
82,1,1,1,2,1
83,2,1,1,3,3
