id,location,fault_severity
14121,118,1
9320,91,0
14394,152,1
8218,931,1
14804,120,0
1080,664,0
9731,640,0
15505,122,0
3443,263,1
13300,613,1
8976,760,1
7965,519,0
10342,746,0
6741,1066,1
7187,812,0
16780,343,0
14195,133,0
14025,976,0
8548,948,1
9566,808,0
15652,894,0
3931,875,0
4557,1024,0
3610,166,0
16574,687,0
7504,1016,1
9735,707,0
14048,978,1
6769,775,0
2514,829,0
896,732,0
4757,508,0
16358,257,1
11810,116,0
7274,830,1
2972,491,0
7392,253,0
6824,740,0
4311,704,2
12261,1089,2
14752,653,0
14992,600,2
967,892,2
8059,802,0
13406,794,0
11424,477,0
3945,684,2
10351,895,2
2272,496,0
10752,321,1
17096,1107,2
17314,1086,2
12770,895,1
3304,1099,1
9012,975,0
9928,1019,2
297,812,2
5751,342,0
17692,744,1
3688,181,0
3425,1086,1
7871,1052,1
10013,696,0
13832,1008,1
11743,798,1
10099,760,1
16682,777,1
10156,95,1
16154,699,0
14176,272,1
14964,704,2
12896,613,2
7288,846,2
15882,795,0
12441,826,1
17248,112,0
16745,778,0
5315,810,0
17118,895,1
7725,690,0
2311,494,0
4292,1095,0
15773,445,0
6531,478,0
16009,661,0
11930,380,0
8541,242,0
11019,1082,0
8274,181,0
722,1007,0
12305,131,1
11444,1007,1
4006,931,1
9231,980,1
6821,118,0
12888,373,0
6779,169,0
11232,421,0
11685,779,2
1318,690,1
909,59,1
18511,648,1
16460,478,0
12008,118,0
6811,124,0
16071,7,0
4486,12,0
183,1026,1
5729,270,0
15368,1106,0
5064,1090,0
11530,522,0
14860,1007,0
13166,836,0
14528,145,0
4202,895,1
3916,1020,1
11454,804,1
12297,1055,0
553,798,0
10390,1052,1
5056,122,0
10503,157,0
1835,802,1
10085,242,0
13807,893,0
11318,457,0
533,99,0
10538,839,1
11549,719,0
16900,793,0
599,1109,0
11700,648,0
18331,957,0
5381,600,2
13638,665,0
2703,846,0
13686,1107,0
6240,1052,2
8546,1107,0
4578,948,0
15870,646,0
17084,302,0
4114,273,0
8011,1,0
6588,124,0
12490,704,2
3975,476,0
4720,152,0
15209,734,0
6092,1076,1
9426,798,0
2307,520,0
13291,1046,0
17245,803,1
11726,963,0
15486,821,0
9033,1061,2
9959,714,0
3798,242,0
15624,613,1
5995,91,0
9644,1007,0
10779,300,0
9734,272,1
14954,1106,1
15493,611,0
6222,724,1
17390,173,1
6826,943,1
8611,821,2
9087,795,0
17472,733,1
12760,249,0
4963,704,2
6225,821,1
7959,802,0
1773,957,1
6136,408,1
5965,723,1
5390,255,0
13663,655,2
4501,888,0
13442,704,1
6958,989,0
16339,1015,0
9372,1019,0
5576,692,1
663,653,0
1473,945,1
949,651,0
10513,1106,0
14289,763,1
15260,416,0
9812,830,0
4916,704,2
17515,1024,2
17388,497,0
4450,890,0
16258,849,0
10528,208,0
4003,255,1
3954,139,1
13945,914,1
15607,326,0
11897,937,0
12609,1086,0
10122,506,0
7886,149,0
15771,846,0
17681,865,0
15863,925,2
17690,798,1
8606,243,0
11362,193,0
4604,723,0
5480,471,0
12277,1107,2
1400,375,0
6687,91,0
11153,1047,0
8313,798,2
5787,490,0
741,1051,0
16502,763,0
4036,896,0
5029,1011,0
18158,834,1
18441,118,0
4268,97,0
4092,1019,0
16819,226,0
7774,962,2
5824,885,0
7295,821,1
18146,812,0
17409,816,2
6095,638,0
9032,945,0
5210,468,0
11177,380,0
12324,1109,1
1697,1122,0
3106,1098,1
7824,376,0
2588,1,0
13644,303,0
13082,126,0
8150,520,0
6234,734,0
10350,507,0
13538,709,0
2338,466,0
17947,466,0
9786,12,0
9514,1102,0
13670,998,0
15482,727,0
12517,76,1
411,734,1
10237,830,0
12734,798,0
10863,309,0
11390,737,0
5260,1111,0
8244,314,1
4161,1023,1
16354,658,0
15236,477,0
14877,990,0
4810,445,0
4637,618,0
14124,758,1
4737,488,0
5377,643,1
14696,834,0
2880,607,1
17021,141,0
11043,497,0
6,332,1
2380,821,1
6563,794,0
2273,814,0
1743,794,1
12919,921,2
7922,742,0
8201,897,0
13659,466,0
2861,1107,0
17883,744,2
17057,122,0
12316,240,0
12541,691,0
363,809,0
4166,549,1
8354,810,0
9160,1089,1
1476,266,0
8193,1010,1
12708,1094,1
13410,345,0
12066,501,0
8570,939,0
4204,957,0
18290,373,0
11441,684,2
17975,1094,1
11262,821,0
3768,823,0
11418,244,0
13813,857,1
1665,846,1
4170,1065,0
12798,1008,0
681,1099,0
319,1099,0
17956,300,0
429,793,0
6663,906,1
10586,404,1
8583,1117,0
8030,461,0
5099,95,0
446,1056,1
5725,995,1
15436,893,0
6758,500,0
6449,122,0
4552,613,1
