id,max_et,max_st,max_rt,max_lf,max_vol
1,13,1,8,345,2
2,35,2,2,315,1
3,11,1,8,171,2
4,47,4,2,370,3
5,35,2,2,312,11
6,34,2,2,232,1
7,44,1,2,376,2
8,35,2,2,314,5
9,15,1,8,203,213
10,11,1,8,195,5
11,35,2,2,312,2
12,20,1,2,134,1
13,35,2,2,312,1
14,30,5,9,218,2
15,35,2,2,312,6
16,11,1,8,54,1
17,15,2,8,172,1
18,35,2,2,315,33
19,44,1,2,376,3
20,54,2,8,55,1
21,14,1,8,273,4
22,35,2,2,315,2
23,35,2,2,312,2
24,35,4,2,312,2
25,11,2,8,206,1
26,35,4,2,312,1
27,11,1,8,195,3
28,11,2,8,68,2
29,35,2,2,316,98
30,35,2,2,312,7
31,35,2,2,315,13
32,35,2,2,315,1
33,35,2,2,315,4
34,20,1,8,219,39
35,11,1,8,201,2
36,35,2,2,312,3
37,20,1,2,134,1
38,35,2,2,312,5
39,11,1,8,73,2
40,28,1,9,212,10
41,35,2,2,313,1
42,13,1,8,273,1
43,35,2,2,313,3
44,35,2,2,313,28
45,15,2,8,203,6
46,35,2,2,314,3
47,15,1,8,193,4
48,15,2,8,203,24
49,35,2,2,315,10
50,23,1,8,306,3
51,13,1,8,273,1
52,35,2,2,313,25
53,35,1,2,314,96
54,35,2,2,315,8
55,35,2,2,316,52
56,35,1,2,312,1
57,15,1,8,201,3
58,23,1,7,306,3
59,11,1,8,171,2
60,15,1,8,82,7
61,34,2,2,232,1
62,35,2,2,315,5
63,35,2,2,314,34
64,15,2,8,56,1
65,15,2,8,203,12
66,15,2,8,203,14
67,15,1,8,203,4
68,15,2,8,203,74
69,11,1,8,203,2
70,15,2,8,203,18
71,11,1,8,195,5
72,15,1,8,201,12
73,35,4,2,314,1
74,35,2,2,312,4
75,35,2,2,310,24
76,35,2,2,312,1
77,54,2,8,82,11
78,39,1,8,381,2
79,15,1,8,172,2
80,11,2,8,68,3
81,35,4,2,313,1
82,11,1,8,209,1
83,35,2,2,313,3
84,13,1,8,273,3
85,15,2,8,203,18
86,35,2,2,312,11
87,11,1,8,171,2
88,35,2,2,312,5
89,35,4,2,131,1
90,11,1,8,68,1
91,13,1,8,345,2
92,15,2,8,82,12
93,15,2,8,82,8
94,11,1,8,170,9
95,35,2,2,313,149
96,15,2,8,203,20
97,15,2,8,82,2
98,35,2,2,312,11
99,35,2,2,315,124
100,11,1,8,73,2
101,35,2,2,315,1
102,35,2,2,312,6
103,35,1,8,312,3
104,15,1,8,203,22
105,35,2,2,358,2
106,15,2,8,82,3
107,35,2,2,312,10
108,35,2,2,312,1
109,20,1,2,134,1
110,20,1,2,134,1
111,35,2,2,315,3
112,11,2,8,195,1
113,15,1,8,203,10
114,20,1,2,219,1
115,35,2,2,312,1
116,11,1,8,70,2
117,11,1,8,55,2
118,11,1,8,160,2
119,15,2,8,203,5
120,35,1,2,301,3
121,35,1,2,312,25
122,11,1,8,195,9
123,35,1,8,314,14
124,35,2,2,315,6
125,11,1,8,195,21
126,34,2,2,232,1
127,11,4,8,181,1
128,17,1,2,126,2
129,11,1,8,170,5
130,11,1,8,171,2
131,20,1,2,219,1
132,15,2,8,203,14
133,11,1,8,201,1
134,44,1,2,376,8
135,11,1,8,195,6
136,44,1,2,376,4
137,35,2,2,312,2
138,15,1,8,193,10
139,35,2,2,315,4
140,11,2,8,170,2
141,35,2,2,301,2
142,15,1,8,203,16
143,15,1,8,172,2
144,35,4,2,312,1
145,15,2,8,203,36
146,35,2,2,313,9
147,15,2,8,203,16
148,35,1,2,301,2
149,35,2,2,315,2
150,18,1,10,273,1
151,15,2,8,193,4
152,35,1,2,301,1
153,11,4,8,54,2
154,35,2,2,312,1
155,35,4,2,313,1
156,20,1,2,219,1
157,11,1,8,202,4
158,30,5,9,218,2
159,15,2,8,203,36
160,11,1,8,209,2
161,35,2,2,312,7
162,35,2,2,313,7
163,15,2,8,203,6
164,21,1,2,220,2
165,54,1,8,55,1
166,35,2,2,315,238
167,54,1,8,82,3
168,35,2,2,312,3
169,11,4,8,195,1
170,15,2,8,203,28
171,35,2,2,312,1
172,15,2,8,203,28
173,54,1,2,361,1
174,15,1,8,203,13
175,11,1,8,195,1
176,15,2,8,203,12
177,35,2,2,313,1
178,11,1,8,193,1
179,35,2,2,315,108
180,20,1,2,219,1
181,15,2,8,203,32
182,11,1,8,170,1
183,13,1,8,273,6
184,15,1,8,193,288
185,35,1,2,301,1
186,11,1,8,193,2
187,15,1,8,80,3
188,35,2,2,314,1
189,22,1,8,222,2
190,35,2,2,314,5
191,35,2,2,312,2
192,11,1,8,170,1
193,20,1,2,219,1
194,35,4,2,312,3
195,20,1,2,134,1
196,11,1,8,202,2
197,35,4,2,312,1
198,35,1,2,312,4
199,34,2,2,232,1
200,15,2,8,203,9
201,35,2,2,314,112
202,11,2,8,202,2
203,15,2,8,71,2
204,35,2,2,315,91
205,35,1,2,313,31
206,11,1,8,167,2
207,35,2,2,313,123
208,18,1,10,269,2
209,35,2,2,312,1
210,29,1,9,240,8
211,15,1,8,71,4
212,11,1,8,171,2
213,35,2,2,313,154
214,23,1,8,306,4
215,53,1,8,376,15
216,11,1,8,157,4
217,13,1,8,345,2
218,13,1,6,345,4
219,15,2,8,82,8
220,11,1,8,201,2
221,15,1,8,203,20
222,15,2,8,203,4
223,15,1,8,201,3
224,54,1,8,203,10
225,11,1,8,68,12
226,11,1,8,195,1
227,15,2,8,203,56
228,15,2,8,203,14
229,15,1,8,203,24
230,35,2,2,313,2
231,35,1,2,312,15
232,35,2,2,312,6
233,35,2,2,314,81
234,13,1,6,345,1
235,35,2,2,315,22
236,35,2,2,312,31
237,11,1,8,202,10
238,15,2,8,203,75
239,13,1,6,345,1
240,44,2,2,376,3
241,35,2,2,312,4
242,11,1,8,182,9
243,35,2,2,312,13
244,20,1,2,219,1
245,35,1,2,312,2
246,11,1,8,160,1
247,15,2,8,203,4
248,35,2,2,315,7
249,35,2,2,312,4
250,23,1,8,345,2
251,35,2,2,315,4
252,11,1,8,54,2
253,15,1,8,203,105
254,15,1,8,71,2
255,35,1,8,358,1
256,11,4,8,54,2
257,11,1,8,202,4
258,15,1,8,201,5
259,35,4,2,312,1
260,15,2,8,82,8
261,54,1,8,203,6
262,11,2,8,195,1
263,38,1,8,317,42
264,11,1,8,209,19
265,11,4,8,170,2
266,11,2,8,195,2
267,15,2,8,203,18
268,11,1,8,201,1
269,11,2,8,73,1
270,35,2,2,314,41
271,11,1,8,170,11
272,35,2,2,315,33
273,35,2,2,316,145
274,35,2,2,312,45
275,15,2,8,203,14
276,35,2,2,310,27
277,35,2,2,314,3
278,35,2,2,313,10
279,35,4,2,312,1
280,35,2,2,314,23
281,35,2,2,315,6
282,15,2,8,82,3
283,11,1,8,155,5
284,11,1,8,170,4
285,35,1,2,312,1
286,11,1,8,195,4
287,14,1,8,163,1
288,11,2,8,191,1
289,35,4,2,312,1
290,44,1,2,376,8
291,15,1,8,203,44
292,35,2,2,316,89
293,35,2,2,312,1
294,15,1,8,203,18
295,13,1,6,273,1
296,15,2,8,203,32
297,11,1,8,171,11
298,15,1,8,193,6
299,35,2,2,312,7
300,23,2,8,306,2
301,54,1,8,362,195
302,35,2,2,312,1
303,35,2,2,313,86
304,35,2,2,312,9
305,11,1,8,188,1
306,44,1,2,376,21
307,14,1,8,345,41
308,11,1,8,179,13
309,27,1,9,240,30
310,15,2,8,203,20
311,23,1,8,306,2
312,11,1,8,205,1
313,11,1,8,170,3
314,35,2,2,312,8
315,14,2,8,170,2
316,15,1,8,167,5
317,35,1,2,312,3
318,35,2,2,312,6
319,11,1,8,202,6
320,15,1,8,203,88
321,15,2,8,203,2
322,15,2,8,203,21
323,15,2,8,203,9
324,11,2,8,55,1
325,15,1,8,203,18
326,35,2,2,313,2
327,35,2,2,312,22
328,20,1,2,219,1
329,15,2,8,203,63
330,35,2,2,313,1
331,35,2,2,312,24
332,35,2,2,312,125
333,13,1,8,273,1
334,23,2,8,306,2
335,35,2,2,312,4
336,11,2,8,154,4
337,11,1,8,170,3
338,54,4,2,362,1
339,23,1,8,306,3
340,15,1,8,203,36
341,35,2,2,315,9
342,15,2,8,203,36
343,35,2,2,313,9
344,35,2,2,315,51
