id,mean_et,mean_st,mean_rt,mean_lf,mean_vol
1,12,1,7,197.333333333333,1.66666666666667
2,34.5,2,2,281.6,1
3,11,1,8,171,2
4,47,4,2,370,3
5,34.5,2,2,272,8.5
6,34,2,2,229.5,1
7,43,1,2,329.5,1.75
8,34.5,2,2,271.666666666667,2.66666666666667
9,13,1,8,123.6,84.2
10,11,1,8,134,5
11,34.5,2,2,269.333333333333,2
12,20,1,2,134,1
13,34.5,2,2,272,1
14,30,5,9,175.5,2
15,34.5,2,2,272,5
16,11,1,8,54,1
17,15,2,8,114,1
18,34.5,2,2,271.75,11.5
19,43,1,2,329.5,1.75
20,25,2,4.33333333333333,47,1
21,12.6666666666667,1,6,141.25,3
22,34.5,2,2,273.333333333333,1.33333333333333
23,34.5,2,2,269.5,1.5
24,35,4,2,312,2
25,11,2,8,206,1
26,35,4,2,312,1
27,11,1,8,134,2.5
28,11,2,8,68,2
29,34.5,2,2,271.625,39.1875
30,34.5,2,2,283.666666666667,5
31,34.5,2,2,274,8.75
32,34.5,2,2,274,1
33,34.5,2,2,274,3
34,14,1,4.33333333333333,143.428571428571,11.8571428571429
35,11,1,8,140.5,2
36,34.5,2,2,272,3
37,20,1,2,134,1
38,34.5,2,2,269.5,2.5
39,11,1,8,73,2
40,16.3333333333333,1,6.66666666666667,117.875,4.875
41,34.5,2,2,285.666666666667,1
42,12,1,7,170.5,1
43,34.5,2,2,270.666666666667,2
44,34.5,2,2,273,28
45,15,2,8,142.5,6
46,34.5,2,2,271.666666666667,2.33333333333333
47,13,1,8,114.666666666667,3
48,15,2,8,142.5,17
49,34.5,2,2,278.285714285714,4.28571428571429
50,18,1,5.25,159.875,1.75
51,12,1,7,141.25,1
52,34.5,2,2,272.5,13
53,29.6666666666667,1,2,250.5,29.7
54,34.5,2,2,271.6,3.6
55,34.5,2,2,271.714285714286,18.8571428571429
56,27.5,1,2,228,1
57,13,1,8,140.5,2
58,21.5,1,4.5,219.666666666667,1.66666666666667
59,11,1,8,113,2
60,13,1,8,81,4
61,34,2,2,229.5,1
62,34.5,2,2,271.75,3.25
63,34.5,2,2,279.6,14
64,15,2,8,56,1
65,15,2,8,142.5,8
66,15,2,8,142.5,10
67,13,1,8,142.5,3
68,15,2,8,137.25,26
69,11,1,8,142.5,2
70,15,2,8,142.5,13
71,11,1,8,134,5
72,9.66666666666667,1,8,107.2,4.6
73,35,4,2,313,1
74,34.5,2,2,272,2.5
75,34.5,2,2,269,22.25
76,34.5,2,2,283.666666666667,1
77,34.5,2,8,76.5,6.5
78,23,1,6.5,225.75,1.25
79,13,1,8,114,2
80,11,2,8,68,3
81,35,4,2,310.666666666667,1
82,11,1,8,138.5,1
83,34.5,2,2,285.666666666667,2
84,12,1,7,170.5,2
85,15,2,8,142.5,14
86,34.5,2,2,272,8.5
87,11,1,8,98,1.33333333333333
88,34.5,2,2,269.5,4.25
89,35,4,2,130.5,1
90,11,1,8,68,1
91,12,1,7,216.25,1.25
92,15,2,8,82,12
93,15,2,8,82,8
94,11,1,8,97.3333333333333,4
95,34.5,2,2,272.5,69.25
96,15,2,8,142.5,16
97,15,2,8,82,2
98,34.5,2,2,272,8.5
99,34.5,2,2,273.333333333333,42.3333333333333
100,11,1,8,73,2
101,34.5,2,2,275,1
102,34.5,2,2,272,6
103,25,1,5,198,2
104,13,1,8,125.8,8.2
105,34.5,2,2,269.714285714286,1.42857142857143
106,15,2,8,82,3
107,34.5,2,2,272,9.5
108,34.5,2,2,272,1
109,20,1,2,134,1
110,20,1,2,134,1
111,34.5,2,2,280.2,1.8
112,11,2,8,195,1
113,13,1,8,141.5,5.25
114,20,1,2,176.5,1
115,34.5,2,2,269.5,1
116,11,1,8,70,2
117,11,1,8,55,2
118,11,1,8,102,2
119,15,2,8,142.5,3
120,27.5,1,2,218,2
121,29.6666666666667,1,2,244.75,12.75
122,11,1,8,134,9
123,26.6666666666667,1,5,229.3,3.3
124,34.5,2,2,273.333333333333,3.66666666666667
125,11,1,8,134,18
126,34,2,2,229.5,1
127,11,4,8,181,1
128,17,1,2,126,2
129,11,1,8,112,5
130,11,1,8,113,1.5
131,20,1,2,176.5,1
132,15,2,8,142.5,10
133,11,1,8,140.5,1
134,43,1,2,338.6,5.6
135,11,1,8,134,5.5
136,43,1,2,329.5,3.5
137,34.5,2,2,257,1.33333333333333
138,13,1,8,115.333333333333,5
139,34.5,2,2,273.333333333333,2.5
140,11,2,8,112,1.5
141,34.5,2,2,261,1.5
142,13,1,8,125.8,5.6
143,13,1,8,103.333333333333,1.66666666666667
144,35,4,2,309.5,1
145,15,2,8,142.5,29
146,34.5,2,2,272.5,5.5
147,15,2,8,142.5,12
148,27.5,1,2,218,1.66666666666667
149,34.5,2,2,271.333333333333,1.83333333333333
150,14,1,8,194,1
151,15,2,8,115.333333333333,2
152,29.6666666666667,1,2,218.75,1
153,11,4,8,54,2
154,34.5,2,2,272,1
155,35,4,2,312.5,1
156,20,1,2,176.5,1
157,11,1,8,141.5,3
158,30,5,9,175.5,2
159,15,2,8,142.5,22.5
160,11,1,8,209,2
161,34.5,2,2,269.5,5
162,34.5,2,2,272.5,5
163,15,2,8,142.5,6
164,21,1,2,177.5,2
165,32.5,1,5,55,1
166,34.5,2,2,292.25,95.5
167,34.5,1,5,81,2
168,34.5,2,2,272,3
169,11,4,8,134,1
170,15,2,8,142.5,19
171,34.5,2,2,283.666666666667,1
172,15,2,8,142.5,22.5
173,54,1,2,360,1
174,13,1,8,141.5,4.75
175,11,1,8,134,1
176,15,2,8,142.5,8.5
177,34.5,2,2,285.666666666667,1
178,11,1,8,193,1
179,34.5,2,2,293,48.25
180,20,1,2,176.5,1
181,15,2,8,142.5,29
182,11,1,8,112,1
183,12,1,7,170.5,4
184,13,1,8,113.166666666667,88.3333333333333
185,27.5,1,2,218,1
186,11,1,8,132,1.5
187,13,1,8,80,3
188,34.5,2,2,271,1
189,16.5,1,7.5,128.5,1.5
190,34.5,2,2,271.666666666667,3.66666666666667
191,34.5,2,2,269.5,1.5
192,11,1,8,112,1
193,20,1,2,176.5,1
194,35,4,2,312,3
195,20,1,2,134,1
196,11,1,8,141.5,2
197,35,4,2,312,1
198,29.6666666666667,1,2,250.833333333333,1.83333333333333
199,34,2,2,232,1
200,15,2,8,121.666666666667,6
201,34.5,2,2,273,58.75
202,11,2,8,141.5,2
203,15,2,8,71,2
204,34.5,2,2,273.333333333333,36.6666666666667
205,30,1,2,266.666666666667,10.1666666666667
206,11,1,8,109,1.5
207,34.5,2,2,272.5,58.25
208,14.5,1,9,148,1.4
209,34.5,2,2,272,1
210,22.3333333333333,1,8.5,162.6,6.8
211,13,1,8,71,4
212,11,1,8,113,2
213,34.5,2,2,272.5,101.5
214,16,1,6.33333333333333,172,2.66666666666667
215,39.8888888888889,1,5,282.8125,6.3125
216,11,1,8,99.5,3
217,12,1,7,216.25,2
218,13,1,6,309,3
219,15,2,8,81,5.5
220,11,1,8,140.5,2
221,13,1,8,127.4,6.4
222,15,2,8,141.5,2.5
223,13,1,8,136.25,2
224,34.5,1,8,142.5,6
225,11,1,8,68,12
226,11,1,8,195,1
227,15,2,8,137.25,16.75
228,15,2,8,142.5,7.5
229,13,1,8,138.333333333333,8
230,34.5,2,2,273,1.5
231,29.6666666666667,1,2,250.833333333333,5.83333333333333
232,34.5,2,2,272,6
233,34.5,2,2,270.75,31.25
234,13,1,6,345,1
235,34.5,2,2,281,9.8
236,34.5,2,2,272,30
237,11,1,8,117.666666666667,6
238,15,2,8,142.5,39.5
239,13,1,6,309,1
240,43,2,2,338.4,2
241,34.5,2,2,272,4
242,11,1,8,176,5
243,34.5,2,2,272,13
244,20,1,2,176.5,1
245,29.6666666666667,1,2,238.5,1.5
246,11,1,8,160,1
247,15,2,8,142.5,4
248,34.5,2,2,273.333333333333,4.33333333333333
249,34.5,2,2,257,1.55555555555556
250,16.75,1,5.75,188.833333333333,1.66666666666667
251,34.5,2,2,273.333333333333,2
252,11,1,8,54,2
253,13,1,8,137.25,31
254,11.3333333333333,1,5,71,2
255,25,1,5,246.25,1
256,11,4,8,54,2
257,11,1,8,141.5,3
258,13,1,8,140.5,3.5
259,35,4,2,310.5,1
260,15,2,8,81,6
261,34.5,1,5,142.5,4
262,11,2,8,134,1
263,21.3333333333333,1,5,173.2,14.2
264,11,1,8,131.375,6
265,11,4,8,112,1.5
266,11,2,8,134,1.5
267,15,2,8,142.5,10
268,11,1,8,201,1
269,11,2,8,73,1
270,34.5,2,2,273,17.25
271,11,1,8,112,7
272,34.5,2,2,273.333333333333,16.1666666666667
273,34.5,2,2,279.2,28.8666666666667
274,34.5,2,2,272,44
275,15,2,8,137.25,6.5
276,34.5,2,2,269,24.75
277,34.5,2,2,279.6,2.2
278,34.5,2,2,270,7
279,35,4,2,312,1
280,34.5,2,2,274,15
281,34.5,2,2,273.333333333333,2.33333333333333
282,15,2,8,81,2.5
283,7,1,8,84.25,2.75
284,11,1,8,112,3.5
285,30,1,2,247.714285714286,1
286,11,1,8,134,4
287,12.5,1,6,163,1
288,11,2,8,130.5,1
289,35,4,2,312,1
290,43,1,2,330.5,5.16666666666667
291,13,1,8,142.5,35
292,34.5,2,2,278,45.7142857142857
293,34.5,2,2,272,1
294,13,1,8,137.25,8.5
295,13,1,6,140.333333333333,1
296,15,2,8,142.5,18.5
297,10.5,1,5.5,102.75,5.75
298,13,1,8,115.333333333333,3
299,34.5,2,2,272,6.5
