id,min_et,min_st,min_rt,min_lf,min_vol
1,11,1,6,68,1
2,34,2,2,233,1
3,11,1,8,171,2
4,47,4,2,370,3
5,34,2,2,232,6
6,34,2,2,227,1
7,42,1,2,283,1
8,34,2,2,229,1
9,11,1,8,56,2
10,11,1,8,73,5
11,34,2,2,227,2
12,20,1,2,134,1
13,34,2,2,232,1
14,30,5,9,133,2
15,34,2,2,232,4
16,11,1,8,54,1
17,15,2,8,56,1
18,34,2,2,227,2
19,42,1,2,283,1
20,10,2,2,39,1
21,11,1,4,54,2
22,34,2,2,232,1
23,34,2,2,227,1
24,35,4,2,312,2
25,11,2,8,206,1
26,35,4,2,312,1
27,11,1,8,73,2
28,11,2,8,68,2
29,34,2,2,228,3
30,34,2,2,232,1
31,34,2,2,233,7
32,34,2,2,233,1
33,34,2,2,233,2
34,10,1,2,56,1
35,11,1,8,80,2
36,34,2,2,232,3
37,20,1,2,134,1
38,34,2,2,227,1
39,11,1,8,73,2
40,10,1,3,35,2
41,34,2,2,232,1
42,11,1,6,68,1
43,34,2,2,227,1
44,34,2,2,233,28
45,15,2,8,82,6
46,34,2,2,229,1
47,11,1,8,71,2
48,15,2,8,82,10
49,34,2,2,230,1
50,11,1,2,46,1
51,11,1,6,54,1
52,34,2,2,232,2
53,20,1,2,134,1
54,34,2,2,228,2
55,34,2,2,228,1
56,20,1,2,95,1
57,11,1,8,80,1
58,20,1,2,134,1
59,11,1,8,55,2
60,11,1,8,80,1
61,34,2,2,227,1
62,34,2,2,227,1
63,34,2,2,229,1
64,15,2,8,56,1
65,15,2,8,82,4
66,15,2,8,82,6
67,11,1,8,82,2
68,15,2,8,71,1
69,11,1,8,82,2
70,15,2,8,82,8
71,11,1,8,73,5
72,3,1,8,5,1
73,35,4,2,312,1
74,34,2,2,232,1
75,34,2,2,228,20
76,34,2,2,232,1
77,15,2,8,71,2
78,11,1,5,55,1
79,11,1,8,56,2
80,11,2,8,68,3
81,35,4,2,307,1
82,11,1,8,68,1
83,34,2,2,232,1
84,11,1,6,68,1
85,15,2,8,82,10
86,34,2,2,232,6
87,11,1,8,55,1
88,34,2,2,227,2
89,35,4,2,130,1
90,11,1,8,68,1
91,11,1,6,68,1
92,15,2,8,82,12
93,15,2,8,82,8
94,11,1,8,54,1
95,34,2,2,232,1
96,15,2,8,82,12
97,15,2,8,82,2
98,34,2,2,232,6
99,34,2,2,232,2
100,11,1,8,73,2
101,34,2,2,235,1
102,34,2,2,232,6
103,11,1,2,44,1
104,11,1,8,71,2
105,34,2,2,95,1
106,15,2,8,82,3
107,34,2,2,232,9
108,34,2,2,232,1
109,20,1,2,134,1
110,20,1,2,134,1
111,34,2,2,232,1
112,11,2,8,195,1
113,11,1,8,80,1
114,20,1,2,134,1
115,34,2,2,227,1
116,11,1,8,70,2
117,11,1,8,55,2
118,11,1,8,44,2
119,15,2,8,82,1
120,20,1,2,134,1
121,20,1,2,134,1
122,11,1,8,73,9
123,11,1,2,44,1
124,34,2,2,232,2
125,11,1,8,73,15
126,34,2,2,227,1
127,11,4,8,181,1
128,17,1,2,126,2
129,11,1,8,54,5
130,11,1,8,55,1
131,20,1,2,134,1
132,15,2,8,82,6
133,11,1,8,80,1
134,42,1,2,283,4
135,11,1,8,73,5
136,42,1,2,283,3
137,34,2,2,227,1
138,11,1,8,71,2
139,34,2,2,232,1
140,11,2,8,54,1
141,34,2,2,221,1
142,11,1,8,71,1
143,11,1,8,56,1
144,35,4,2,307,1
145,15,2,8,82,22
146,34,2,2,232,3
147,15,2,8,82,8
148,20,1,2,134,1
149,34,2,2,227,1
150,11,1,6,68,1
151,15,2,8,71,1
152,20,1,2,134,1
153,11,4,8,54,2
154,34,2,2,232,1
155,35,4,2,312,1
156,20,1,2,134,1
157,11,1,8,81,2
158,30,5,9,133,2
159,15,2,8,82,9
160,11,1,8,209,2
161,34,2,2,227,2
162,34,2,2,232,3
163,15,2,8,82,6
164,21,1,2,135,2
165,11,1,2,55,1
166,34,2,2,235,1
167,15,1,2,80,1
168,34,2,2,232,3
169,11,4,8,73,1
170,15,2,8,82,10
171,34,2,2,232,1
172,15,2,8,82,17
173,54,1,2,359,1
174,11,1,8,80,2
175,11,1,8,73,1
176,15,2,8,82,5
177,34,2,2,232,1
178,11,1,8,193,1
179,34,2,2,232,1
180,20,1,2,134,1
181,15,2,8,82,26
182,11,1,8,54,1
183,11,1,6,68,2
184,11,1,8,56,1
185,20,1,2,134,1
186,11,1,8,71,1
187,11,1,8,80,3
188,34,2,2,227,1
189,11,1,7,54,1
190,34,2,2,229,2
191,34,2,2,227,1
192,11,1,8,54,1
193,20,1,2,134,1
194,35,4,2,312,3
195,20,1,2,134,1
196,11,1,8,81,2
197,35,4,2,312,1
198,20,1,2,134,1
199,34,2,2,232,1
200,15,2,8,80,4
201,34,2,2,232,3
202,11,2,8,81,2
203,15,2,8,71,2
204,34,2,2,232,3
205,21,1,2,135,1
206,11,1,8,51,1
207,34,2,2,232,3
208,11,1,8,54,1
209,34,2,2,232,1
210,11,1,8,54,6
211,11,1,8,71,4
212,11,1,8,55,2
213,34,2,2,232,66
214,11,1,4,47,1
215,11,1,2,50,1
216,11,1,8,42,2
217,11,1,6,68,2
218,13,1,6,273,2
219,15,2,8,80,3
220,11,1,8,80,2
221,11,1,8,71,1
222,15,2,8,80,1
223,11,1,8,71,1
224,15,1,8,82,2
225,11,1,8,68,12
226,11,1,8,195,1
227,15,2,8,71,2
228,15,2,8,82,1
229,11,1,8,71,1
230,34,2,2,233,1
231,20,1,2,134,1
232,34,2,2,232,6
233,34,2,2,228,1
234,13,1,6,345,1
235,34,2,2,232,1
236,34,2,2,232,29
237,11,1,8,70,1
238,15,2,8,82,4
239,13,1,6,273,1
240,42,2,2,283,1
241,34,2,2,232,4
242,11,1,8,170,1
243,34,2,2,232,13
244,20,1,2,134,1
245,20,1,2,134,1
246,11,1,8,160,1
247,15,2,8,82,4
248,34,2,2,232,3
249,34,2,2,227,1
250,11,1,2,54,1
251,34,2,2,232,1
252,11,1,8,54,2
253,11,1,8,71,2
254,8,1,2,71,2
255,11,1,2,134,1
256,11,4,8,54,2
257,11,1,8,81,2
258,11,1,8,80,2
259,35,4,2,309,1
260,15,2,8,80,4
261,15,1,2,82,2
262,11,2,8,73,1
263,11,1,2,71,1
264,11,1,8,54,1
265,11,4,8,54,1
266,11,2,8,73,1
267,15,2,8,82,2
268,11,1,8,201,1
269,11,2,8,73,1
270,34,2,2,232,1
271,11,1,8,54,3
272,34,2,2,232,2
273,34,2,2,227,1
274,34,2,2,232,43
275,15,2,8,71,2
276,34,2,2,228,22
277,34,2,2,229,2
278,34,2,2,227,1
279,35,4,2,312,1
280,34,2,2,234,7
281,34,2,2,232,1
282,15,2,8,80,2
283,3,1,8,4,1
284,11,1,8,54,3
285,21,1,2,135,1
286,11,1,8,73,4
287,11,1,4,163,1
288,11,2,8,70,1
289,35,4,2,312,1
290,42,1,2,283,2
291,11,1,8,82,26
292,34,2,2,229,1
293,34,2,2,232,1
294,11,1,8,71,2
295,13,1,6,30,1
296,15,2,8,82,5
297,10,1,3,35,1
298,11,1,8,71,1
299,34,2,2,232,6
300,11,2,7,75,1
301,11,1,2,25,1
302,34,2,2,232,1
303,34,2,2,232,1
304,34,2,2,232,8
305,11,1,8,66,1
306,42,1,2,283,4
307,11,1,4,30,1
308,11,1,8,54,2
309,10,1,3,38,1
310,15,2,8,82,1
311,11,1,2,75,1
312,11,1,8,51,1
313,11,1,8,54,1
314,34,2,2,232,7
315,11,2,4,40,1
316,11,1,8,51,3
317,20,1,2,134,1
318,34,2,2,232,6
319,11,1,8,70,2
320,11,1,8,71,2
321,15,2,8,82,2
322,15,2,8,71,2
323,15,2,8,82,3
324,11,2,8,55,1
325,11,1,8,71,2
326,34,2,2,232,1
327,34,2,2,232,20
328,20,1,2,134,1
329,15,2,8,82,3
330,34,2,2,232,1
331,34,2,2,232,16
332,34,2,2,232,111
333,11,1,6,68,1
334,11,2,7,75,1
335,34,2,2,232,4
336,10,2,3,35,1
337,11,1,8,54,2
338,54,4,2,360,1
339,11,1,2,134,1
340,11,1,8,82,11
341,34,2,2,232,1
342,15,2,8,82,34
343,34,2,2,233,5
344,34,2,2,227,1
345,42,1,2,283,1
346,11,1,8,73,2
347,11,2,2,181,1
348,11,1,8,82,7
349,34,2,2,232,3
350,11,1,8,73,2
351,34,2,2,232,1
352,34,2,2,232,3
353,34,2,2,227,2
354,34,2,2,232,1
355,11,1,8,82,2
