id,sd_et,sd_st,sd_rt,sd_lf,sd_vol
1,1,0,1,113.825402359149,0.471404520791032
2,0.5,0,0,38.8823867580168,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0.5,0,0,40,2.5
6,0,0,0,2.5,0
7,1,0,0,42.687820276983,0.433012701892219
8,0.5,0,0,40.0527430049706,1.37436854187255
9,2,0,0,55.3049726516522,85.0914801845637
10,0,0,0,61,0
11,0.5,0,0,40.0527430049706,0
12,0,0,0,0,0
13,0.5,0,0,40,0
14,0,0,0,42.5,0
15,0.5,0,0,40,1
16,0,0,0,0,0
17,0,0,0,58,0
18,0.5,0,0,40.1084467413038,10.4163333279998
19,1,0,0,42.687820276983,0.82915619758885
20,20.5101600838869,0,2.62466929133727,8,0
21,1.24721912892465,0,1.63299316185545,88.2648712682458,1
22,0.5,0,0,40.0194397206602,0.471404520791032
23,0.5,0,0,40.0780488547035,0.5
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,61,0.5
28,0,0,0,0,0
29,0.5,0,0,40.0778539220852,31.498449862652
30,0.5,0,0,36.5908306668336,2.82842712474619
31,0.5,0,0,40.0124980474851,2.48746859276655
32,0.5,0,0,40.0124980474851,0
33,0.5,0,0,40.0124980474851,0.707106781186548
34,3.93700393700591,0,2.62466929133727,55.9792235511333,17.1666501551998
35,0,0,0,60.5,0
36,0.5,0,0,40,0
37,0,0,0,0,0
38,0.5,0,0,40.0780488547035,1.6583123951777
39,0,0,0,0,0
40,8.25967446224258,0,2.62466929133727,62.3947864408558,2.89125837655509
41,0.5,0,0,37.9502598439355,0
42,1,0,1,102.5,0
43,0.5,0,0,40.0860186210715,0.816496580927726
44,0.5,0,0,40,0
45,0,0,0,60.5,0
46,0.5,0,0,40.0527430049706,0.942809041582063
47,2,0,0,55.5117605157282,0.816496580927726
48,0,0,0,60.5,7
49,0.5,0,0,39.8451082701657,3.36852174930046
50,4.69041575982343,0,2.38484800354236,84.9874071554133,0.661437827766148
51,1,0,1,88.2648712682458,0
52,0.5,0,0,40.0031248779392,11.0227038425243
53,6.84754619472471,0,0,55.0440732504418,35.7072821704481
54,0.5,0,0,40.0729335087912,2.1540659228538
55,0.5,0,0,40.0881681358702,15.254306852526
56,7.5,0,0,86.8254954875967,0
57,2,0,0,60.5,1
58,1.5,0,2.5,70.2202882996708,0.942809041582063
59,0,0,0,58,0
60,2,0,0,1,3
61,0,0,0,2.5,0
62,0.5,0,0,40.1084467413038,1.4790199457749
63,0.5,0,0,39.3375139021266,11.8827606220104
64,0,0,0,0,0
65,0,0,0,60.5,4
66,0,0,0,60.5,4
67,2,0,0,60.5,1
68,0,0,0,60.9769423634869,29.8244865840135
69,0,0,0,60.5,0
70,0,0,0,60.5,5
71,0,0,0,61,0
72,4.98887651569859,0,0,64.8209842566433,4.58693797647189
73,0,0,0,1,0
74,0.5,0,0,40,1.5
75,0.5,0,0,40.0124980474851,1.4790199457749
76,0.5,0,0,36.5908306668336,0
77,19.5,0,0,5.5,4.5
78,11.7756811551038,0,1.5,123.683820688075,0.433012701892219
79,2,0,0,58,0
80,0,0,0,0,0
81,0,0,0,2.62466929133727,0
82,0,0,0,70.5,0
83,0.5,0,0,37.9502598439355,0.816496580927726
84,1,0,1,102.5,1
85,0,0,0,60.5,4
86,0.5,0,0,40,2.5
87,0,0,0,51.8909112144571,0.471404520791032
88,0.5,0,0,40.0780488547035,1.29903810567666
89,0,0,0,0.5,0
90,0,0,0,0,0
91,1,0,1,103.878234005012,0.433012701892219
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,51.6999892542435,3.55902608401044
95,0.5,0,0,40.0031248779392,68.2802130928134
96,0,0,0,60.5,4
97,0,0,0,0,0
98,0.5,0,0,40,2.5
99,0.5,0,0,40.0194397206602,57.0428688697272
100,0,0,0,0,0
101,0.5,0,0,40,0
102,0.5,0,0,40,0
103,10.0249688278817,0,3,91.9951689552832,0.666666666666667
104,2,0,0,59.1520075737079,8.10925397308532
105,0.5,0,0,86.4898248114677,0.494871659305394
106,0,0,0,0,0
107,0.5,0,0,40,0.5
108,0.5,0,0,40,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0.5,0,0,38.2277386200126,0.979795897113271
112,0,0,0,0,0
113,2,0,0,60.5082638984131,3.26917420765551
114,0,0,0,42.5,0
115,0.5,0,0,40.0780488547035,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,58,0
119,0,0,0,60.5,2
120,7.5,0,0,68.1811313096715,0.816496580927726
121,6.84754619472471,0,0,70.9132392434586,11.7553179455087
122,0,0,0,61,0
123,11.0855260988773,0,3,76.2719476609848,4.29068759058499
124,0.5,0,0,40.0194397206602,1.69967317119759
125,0,0,0,61,3
126,0,0,0,2.5,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,58,0
130,0,0,0,58,0.5
131,0,0,0,42.5,0
132,0,0,0,60.5,4
133,0,0,0,60.5,0
134,0.816496580927726,0,0,42.2970448140293,1.49666295470958
135,0,0,0,61,0.5
136,1,0,0,42.687820276983,0.5
137,0.5,0,0,38.9444048184931,0.471404520791032
138,2,0,0,55.1019257578374,3.55902608401044
139,0.5,0,0,40.0194397206602,1.11803398874989
140,0,0,0,58,0.5
141,0.5,0,0,40,0.5
142,2,0,0,59.1520075737079,5.38887743412299
143,2,0,0,49.7013301856421,0.471404520791032
144,0,0,0,2.5,0
145,0,0,0,60.5,7
146,0.5,0,0,40.0031248779392,2.29128784747792
147,0,0,0,60.5,4
148,7.5,0,0,68.1811313096715,0.471404520791032
149,0.5,0,0,40.1358803178514,0.372677996249965
150,2.94392028877595,0,1.63299316185545,90.0481352758993,0
151,0,0,0,55.1019257578374,1.4142135623731
152,6.84754619472471,0,0,59.0608796074017,0
153,0,0,0,0,0
154,0.5,0,0,40,0
155,0,0,0,0.5,0
156,0,0,0,42.5,0
157,0,0,0,60.5,1
158,0,0,0,42.5,0
159,0,0,0,60.5,13.5
160,0,0,0,0,0
161,0.5,0,0,40.0780488547035,2.12132034355964
162,0.5,0,0,40.0031248779392,1.58113883008419
163,0,0,0,60.5,0
164,0,0,0,42.5,0
165,21.5,0,3,0,0
166,0.5,0,0,33.176610737084,100.410407827077
167,19.5,0,3,1,1
168,0.5,0,0,40,0
169,0,0,0,61,0
170,0,0,0,60.5,9
171,0.5,0,0,36.5908306668336,0
172,0,0,0,60.5,5.5
173,0,0,0,1,0
174,2,0,0,60.5082638984131,4.76313972081441
175,0,0,0,61,0
176,0,0,0,60.5,3.5
177,0.5,0,0,37.9502598439355,0
178,0,0,0,0,0
179,0.5,0,0,35.2349258548957,48.0696109824076
180,0,0,0,42.5,0
181,0,0,0,60.5,3
182,0,0,0,58,0
183,1,0,1,102.5,2
184,2,0,0,51.5086292662588,115.609495957536
185,7.5,0,0,68.1811313096715,0
186,0,0,0,61,0.5
187,2,0,0,0,0
188,0.5,0,0,40.1081870279207,0
189,5.5,0,0.5,70.1338006955277,0.5
190,0.5,0,0,40.0527430049706,1.24721912892465
191,0.5,0,0,40.0780488547035,0.5
192,0,0,0,58,0
193,0,0,0,42.5,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,60.5,0
197,0,0,0,0,0
198,6.84754619472471,0,0,63.8107009486305,1.21335164821342
199,0,0,0,0,0
200,0,0,0,57.5171472017017,2.16024689946929
201,0.5,0,0,40.0124980474851,50.4448956783538
202,0,0,0,60.5,0
203,0,0,0,0,0
204,0.5,0,0,40.0194397206602,30.6521704868604
205,6.37704215656966,0,0,65.2499467858446,10.6366765904059
206,0,0,0,58,0.5
207,0.5,0,0,40.0031248779392,55.6568728909557
208,3.5,0,1,79.1479627027759,0.489897948556636
209,0.5,0,0,40,0
210,8.05536398239638,0,0.5,65.9320862706467,0.748331477354788
211,2,0,0,0,0
212,0,0,0,58,0
213,0.5,0,0,40.0031248779392,35.2171833058807
214,5.09901951359278,0,1.69967317119759,105.927648263646,1.24721912892465
215,13.6173455109809,0,3,94.1064681291887,5.75237722598232
216,0,0,0,57.5,1
217,1,0,1,103.878234005012,0
218,0,0,0,36,1
219,0,0,0,1,2.5
220,0,0,0,60.5,0
221,2,0,0,61.0265515984641,7.28285658241325
222,0,0,0,60.5082638984131,1.11803398874989
223,2,0,0,60.8989942445686,1
224,19.5,0,0,60.5,4
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,60.9769423634869,22.7527470868904
228,0,0,0,60.5,6.5
229,2,0,0,60.8376710782244,7.76745346515403
