id,severity_type,sort,revsort,cumsort
6597,2,1,69,0.0142857142857143
8011,2,2,68,0.0285714285714286
2597,2,3,67,0.0428571428571429
5022,1,4,66,0.0571428571428571
6852,1,5,65,0.0714285714285714
5611,2,6,64,0.0857142857142857
14838,1,7,63,0.1
2588,1,8,62,0.114285714285714
4848,1,9,61,0.128571428571429
6914,1,10,60,0.142857142857143
5337,1,11,59,0.157142857142857
10460,1,12,58,0.171428571428571
15494,1,13,57,0.185714285714286
10289,1,14,56,0.2
8587,1,15,55,0.214285714285714
12943,1,16,54,0.228571428571429
590,2,17,53,0.242857142857143
16416,2,18,52,0.257142857142857
3399,1,19,51,0.271428571428571
1505,1,20,50,0.285714285714286
9446,1,21,49,0.3
12482,2,22,48,0.314285714285714
16538,1,23,47,0.328571428571429
2250,1,24,46,0.342857142857143
5259,1,25,45,0.357142857142857
12751,2,26,44,0.371428571428571
5195,2,27,43,0.385714285714286
1233,1,28,42,0.4
4703,1,29,41,0.414285714285714
17508,1,30,40,0.428571428571429
6008,1,31,39,0.442857142857143
2906,2,32,38,0.457142857142857
1247,1,33,37,0.471428571428571
17909,1,34,36,0.485714285714286
8148,1,35,35,0.5
17595,1,36,34,0.514285714285714
7515,1,37,33,0.528571428571429
17041,1,38,32,0.542857142857143
6692,2,39,31,0.557142857142857
14595,2,40,30,0.571428571428571
15952,1,41,29,0.585714285714286
9664,2,42,28,0.6
3952,1,43,27,0.614285714285714
8461,2,44,26,0.628571428571429
6743,2,45,25,0.642857142857143
16097,1,46,24,0.657142857142857
1235,1,47,23,0.671428571428571
9317,2,48,22,0.685714285714286
9651,1,49,21,0.7
7832,1,50,20,0.714285714285714
5280,1,51,19,0.728571428571429
282,2,52,18,0.742857142857143
4574,1,53,17,0.757142857142857
2043,2,54,16,0.771428571428571
6693,1,55,15,0.785714285714286
16479,2,56,14,0.8
7466,1,57,13,0.814285714285714
4814,2,58,12,0.828571428571429
10842,2,59,11,0.842857142857143
10039,2,60,10,0.857142857142857
4337,2,61,9,0.871428571428571
4787,2,62,8,0.885714285714286
