id,sum_et,sum_st,sum_rt,sum_lf,sum_vol
1,24,1,14,592,5
2,69,2,2,1408,5
3,11,1,8,171,2
4,47,4,2,370,3
5,69,2,2,544,17
6,34,2,2,459,2
7,86,1,2,1318,7
8,69,2,2,1630,16
9,26,1,8,618,421
10,11,1,8,268,10
11,69,2,2,1616,12
12,20,1,2,134,1
13,69,2,2,544,2
14,30,5,9,351,4
15,69,2,2,544,10
16,11,1,8,54,1
17,15,2,8,228,2
18,69,2,2,2174,92
19,86,1,2,1318,7
20,75,2,13,94,2
21,38,1,18,565,12
22,69,2,2,1640,8
23,69,2,2,1078,6
24,35,4,2,312,2
25,11,2,8,206,1
26,35,4,2,312,1
27,11,1,8,268,5
28,11,2,8,68,2
29,69,2,2,4346,627
30,69,2,2,851,15
31,69,2,2,1096,35
32,69,2,2,1096,4
33,69,2,2,1096,12
34,56,1,13,1004,83
35,11,1,8,281,4
36,69,2,2,544,6
37,20,1,2,134,1
38,69,2,2,1078,10
39,11,1,8,73,2
40,49,1,20,943,39
41,69,2,2,857,3
42,24,1,14,341,2
43,69,2,2,1624,12
44,69,2,2,546,56
45,15,2,8,285,12
46,69,2,2,1630,14
47,26,1,8,344,9
48,15,2,8,285,34
49,69,2,2,1948,30
50,90,1,21,1279,14
51,24,1,14,565,4
52,69,2,2,1090,52
53,89,1,2,2505,297
54,69,2,2,2716,36
55,69,2,2,3804,264
56,55,1,2,1368,6
57,26,1,8,281,4
58,43,1,9,659,5
59,11,1,8,226,4
60,26,1,8,162,8
61,34,2,2,459,2
62,69,2,2,2174,26
63,69,2,2,1398,70
64,15,2,8,56,1
65,15,2,8,285,16
66,15,2,8,285,20
67,26,1,8,285,6
68,15,2,8,549,104
69,11,1,8,285,4
70,15,2,8,285,26
71,11,1,8,268,10
72,29,1,8,536,23
73,35,4,2,626,2
74,69,2,2,544,5
75,69,2,2,1076,89
76,69,2,2,851,3
77,69,2,8,153,13
78,69,1,13,903,5
79,26,1,8,228,4
80,11,2,8,68,3
81,35,4,2,932,3
82,11,1,8,277,2
83,69,2,2,857,6
84,24,1,14,341,4
85,15,2,8,285,28
86,69,2,2,544,17
87,11,1,8,294,4
88,69,2,2,1078,17
89,35,4,2,261,2
90,11,1,8,68,1
91,24,1,14,865,5
92,15,2,8,82,12
93,15,2,8,82,8
94,11,1,8,292,12
95,69,2,2,1090,277
96,15,2,8,285,32
97,15,2,8,82,2
98,69,2,2,544,17
99,69,2,2,1640,254
100,11,1,8,73,2
101,69,2,2,550,2
102,69,2,2,544,12
103,100,1,10,1782,18
104,26,1,8,629,41
105,69,2,2,1888,10
106,15,2,8,82,3
107,69,2,2,544,19
108,69,2,2,544,2
109,20,1,2,134,1
110,20,1,2,134,1
111,69,2,2,1401,9
112,11,2,8,195,1
113,26,1,8,566,21
114,20,1,2,353,2
115,69,2,2,1078,4
116,11,1,8,70,2
117,11,1,8,55,2
118,11,1,8,204,4
119,15,2,8,285,6
120,55,1,2,654,6
121,89,1,2,979,51
122,11,1,8,268,18
123,80,1,10,2293,33
124,69,2,2,1640,22
125,11,1,8,268,36
126,34,2,2,459,2
127,11,4,8,181,1
128,17,1,2,126,2
129,11,1,8,224,10
130,11,1,8,226,3
131,20,1,2,353,2
132,15,2,8,285,20
133,11,1,8,281,2
134,129,1,2,1693,28
135,11,1,8,268,11
136,86,1,2,1318,14
137,69,2,2,771,4
138,26,1,8,346,15
139,69,2,2,1640,15
140,11,2,8,224,3
141,69,2,2,522,3
142,26,1,8,629,28
143,26,1,8,310,5
144,35,4,2,619,2
145,15,2,8,285,58
146,69,2,2,1090,22
147,15,2,8,285,24
148,55,1,2,654,5
149,69,2,2,1628,11
150,42,1,24,582,3
151,15,2,8,346,6
152,89,1,2,875,4
153,11,4,8,54,2
154,69,2,2,544,2
155,35,4,2,625,2
156,20,1,2,353,2
157,11,1,8,283,6
158,30,5,9,351,4
159,15,2,8,285,45
160,11,1,8,209,2
161,69,2,2,1078,20
162,69,2,2,1090,20
163,15,2,8,285,12
164,21,1,2,355,4
